Precinct,Candidate_R,Percentage_R,Raw_Vote_R,Candidate_D,Percentage_D,Raw_Vote_D,Total,Voter_Turnout
Lisle 083,Roskam,35.18%,108,Casten,64.82%,199,307,52.01%
Lisle 088,Roskam,36.15%,124,Casten,63.85%,219,343,60.66%
Lisle 089,Roskam,37.18%,174,Casten,62.82%,294,468,61.00%
Lisle 091,Roskam,45.00%,234,Casten,55.00%,286,520,65.96%
Lisle 092,Roskam,34.20%,92,Casten,65.80%,177,269,52.01%
Lisle 095,Roskam,50.47%,217,Casten,49.53%,213,430,69.11%
Lisle 100,Roskam,45.36%,171,Casten,54.64%,206,377,65.12%
Lisle 101,Roskam,37.44%,158,Casten,62.56%,264,422,56.31%
Lisle 104,Roskam,51.69%,230,Casten,48.31%,215,445,66.17%
Lisle 106,Roskam,40.20%,119,Casten,59.80%,177,296,67.73%
Lisle 107,Roskam,46.84%,178,Casten,53.16%,202,380,61.70%
Lisle 111,Roskam,32.41%,141,Casten,67.59%,294,435,52.86%
Lisle 112,Roskam,32.53%,122,Casten,67.47%,253,375,59.84%
Lisle 114,Roskam,21.70%,74,Casten,78.30%,267,341,45.51%
Lisle 115,Roskam,43.20%,200,Casten,56.80%,263,463,64.11%
Lisle 116,Roskam,41.60%,166,Casten,58.40%,233,399,64.27%
Lisle 117,Roskam,57.97%,171,Casten,42.03%,124,295,69.79%
Lisle 126,Roskam,56.15%,178,Casten,43.85%,139,317,66.95%
Downers Grove 002,Roskam,39.81%,207,Casten,60.19%,313,520,69.77%
Downers Grove 003,Roskam,41.80%,237,Casten,58.20%,330,567,66.09%
Downers Grove 006,Roskam,54.35%,250,Casten,45.65%,210,460,67.05%
Downers Grove 007,Roskam,54.25%,300,Casten,45.75%,253,553,62.61%
Downers Grove 008,Roskam,39.97%,257,Casten,60.03%,386,643,68.51%
Downers Grove 009,Roskam,36.48%,166,Casten,63.52%,289,455,66.96%
Downers Grove 010,Roskam,35.19%,190,Casten,64.81%,350,540,59.28%
Downers Grove 011,Roskam,39.70%,241,Casten,60.30%,366,607,68.83%
Downers Grove 012,Roskam,43.15%,192,Casten,56.85%,253,445,67.57%
Downers Grove 014,Roskam,45.94%,243,Casten,54.06%,286,529,58.81%
Downers Grove 015,Roskam,39.89%,150,Casten,60.11%,226,376,58.47%
Downers Grove 016,Roskam,57.40%,225,Casten,42.60%,167,392,63.52%
Downers Grove 017,Roskam,36.73%,198,Casten,63.27%,341,539,70.40%
Downers Grove 018,Roskam,37.89%,208,Casten,62.11%,341,549,59.87%
Downers Grove 019,Roskam,42.25%,139,Casten,57.75%,190,329,51.86%
Downers Grove 020,Roskam,40.54%,180,Casten,59.46%,264,444,71.98%
Downers Grove 021,Roskam,43.82%,234,Casten,56.18%,300,534,68.36%
Downers Grove 026,Roskam,37.79%,212,Casten,62.21%,349,561,68.99%
Downers Grove 027,Roskam,48.36%,147,Casten,51.64%,157,304,58.61%
Downers Grove 028,Roskam,49.49%,196,Casten,50.51%,200,396,66.78%
Downers Grove 029,Roskam,44.80%,254,Casten,55.20%,313,567,64.71%
Downers Grove 030,Roskam,40.91%,162,Casten,59.09%,234,396,62.50%
Downers Grove 031,Roskam,37.33%,187,Casten,62.67%,314,501,56.47%
Downers Grove 032,Roskam,47.22%,221,Casten,52.78%,247,468,67.23%
Downers Grove 033,Roskam,36.81%,141,Casten,63.19%,242,383,55.84%
Downers Grove 034,Roskam,36.53%,202,Casten,63.47%,351,553,69.41%
Downers Grove 036,Roskam,42.51%,264,Casten,57.49%,357,621,66.35%
Downers Grove 037,Roskam,47.21%,313,Casten,52.79%,350,663,73.03%
Downers Grove 038,Roskam,57.34%,285,Casten,42.66%,212,497,65.45%
Downers Grove 039,Roskam,40.57%,198,Casten,59.43%,290,488,60.85%
Downers Grove 044,Roskam,53.56%,241,Casten,46.44%,209,450,63.06%
Downers Grove 045,Roskam,43.06%,155,Casten,56.94%,205,360,67.40%
Downers Grove 047,Roskam,43.42%,132,Casten,56.58%,172,304,67.62%
Downers Grove 048,Roskam,43.66%,155,Casten,56.34%,200,355,60.91%
Downers Grove 049,Roskam,37.72%,195,Casten,62.28%,322,517,61.06%
Downers Grove 050,Roskam,37.98%,229,Casten,62.02%,374,603,68.44%
Downers Grove 051,Roskam,35.29%,174,Casten,64.71%,319,493,66.76%
Downers Grove 052,Roskam,40.35%,186,Casten,59.65%,275,461,69.64%
Downers Grove 053,Roskam,39.03%,185,Casten,60.97%,289,474,66.02%
Downers Grove 054,Roskam,39.13%,144,Casten,60.87%,224,368,71.13%
Downers Grove 055,Roskam,47.62%,190,Casten,52.38%,209,399,65.07%
Downers Grove 056,Roskam,45.29%,125,Casten,54.71%,151,276,55.49%
Downers Grove 057,Roskam,41.51%,181,Casten,58.49%,255,436,63.61%
Downers Grove 059,Roskam,56.04%,255,Casten,43.96%,200,455,62.10%
Downers Grove 061,Roskam,46.53%,282,Casten,53.47%,324,606,67.92%
Downers Grove 063,Roskam,41.90%,150,Casten,58.10%,208,358,56.90%
Downers Grove 064,Roskam,44.09%,224,Casten,55.91%,284,508,67.77%
Downers Grove 065,Roskam,42.16%,223,Casten,57.84%,306,529,66.09%
Downers Grove 066,Roskam,54.38%,236,Casten,45.62%,198,434,64.17%
Downers Grove 067,Roskam,44.14%,128,Casten,55.86%,162,290,59.00%
Downers Grove 069,Roskam,38.10%,120,Casten,61.90%,195,315,50.00%
Downers Grove 070,Roskam,55.65%,207,Casten,44.35%,165,372,69.24%
Downers Grove 071,Roskam,32.18%,140,Casten,67.82%,295,435,49.89%
Downers Grove 073,Roskam,46.00%,184,Casten,54.00%,216,400,68.18%
Downers Grove 074,Roskam,42.86%,153,Casten,57.14%,204,357,49.93%
Downers Grove 075,Roskam,43.81%,170,Casten,56.19%,218,388,71.02%
Downers Grove 076,Roskam,22.64%,84,Casten,77.36%,287,371,43.99%
Downers Grove 078,Roskam,42.96%,171,Casten,57.04%,227,398,64.39%
Downers Grove 079,Roskam,51.68%,200,Casten,48.32%,187,387,67.57%
Downers Grove 082,Roskam,49.26%,301,Casten,50.74%,310,611,63.66%
Downers Grove 083,Roskam,54.42%,326,Casten,45.58%,273,599,64.43%
Downers Grove 084,Roskam,49.12%,251,Casten,50.88%,260,511,65.69%
Downers Grove 085,Roskam,51.81%,229,Casten,48.19%,213,442,65.34%
Downers Grove 087,Roskam,52.91%,345,Casten,47.09%,307,652,69.40%
Downers Grove 092,Roskam,46.24%,172,Casten,53.76%,200,372,62.15%
Downers Grove 094,Roskam,40.00%,212,Casten,60.00%,318,530,60.70%
Downers Grove 096,Roskam,34.98%,149,Casten,65.02%,277,426,61.54%
